overall_rank,pos_rank,player,position,team,opponent,projected_points,p10,p50,p90,p_plays,inj_status
26,13,Caleb Williams,QB,CHI,PHI,16.309,3.487,16.756,26.893,0.933,0.0
27,9,James Cook,RB,BUF,LAC,16.236,5.171,15.587,27.776,0.978,0.0
28,14,Bo Nix,QB,DEN,LA,16.1,4.345,16.506,26.412,0.943,0.0
29,6,Chris Olave,WR,NO,LV,16.035,4.31,14.941,29.175,0.962,0.0
30,15,Matthew Stafford,QB,LA,DEN,15.611,5.495,15.367,25.256,0.969,0.0
31,10,De'Von Achane,RB,MIA,KC,15.423,4.016,14.578,27.434,0.954,0.0
32,7,Puka Nacua,WR,LA,DEN,15.342,0.0,15.061,30.047,0.835,0.0
33,16,Deshaun Watson,QB,CLE,CAR,15.315,0.0,16.1,26.255,0.892,0.0
34,1,Trey McBride,TE,ARI,SF,14.989,5.711,14.278,26.022,0.972,0.0
35,17,Bryce Young,QB,CAR,CLE,14.974,5.155,14.691,24.579,0.952,0.0
36,18,Justin Herbert,QB,LAC,BUF,14.703,2.053,14.642,25.119,0.907,0.0
37,19,Cam Ward,QB,TEN,NYG,14.57,4.116,14.854,24.368,0.956,0.0
38,11,Bucky Irving,RB,TB,MIN,14.513,5.162,13.195,25.822,0.965,0.0
39,8,Parker Washington,WR,JAX,NE,14.383,4.657,13.391,25.296,0.964,0.0
40,20,Baker Mayfield,QB,TB,MIN,14.339,3.809,14.553,24.421,0.96,0.0
41,21,Geno Smith,QB,NYJ,DET,14.25,0.133,14.525,24.874,0.895,0.0
42,12,Javonte Williams,RB,DAL,BAL,14.219,4.435,13.186,25.295,0.949,0.0
43,9,DeVonta Smith,WR,PHI,CHI,14.16,4.6,12.974,25.777,0.982,0.0
44,10,Denzel Boston,WR,CLE,CAR,13.918,4.225,12.849,24.938,0.966,0.0
45,11,Christian Watson,WR,GB,ATL,13.907,3.689,12.649,25.37,0.958,0.0
46,12,Tetairoa McMillan,WR,CAR,CLE,13.907,3.846,12.84,25.303,0.97,0.0
47,13,Breece Hall,RB,NYJ,DET,13.859,4.272,13.049,24.653,0.953,0.0
48,13,Rashee Rice,WR,KC,MIA,13.577,2.532,12.849,24.478,0.913,0.0
49,14,Omarion Hampton,RB,LAC,BUF,13.429,3.788,12.326,24.659,0.947,0.0
50,14,Davante Adams,WR,LA,DEN,13.385,3.015,12.298,24.599,0.975,0.0
51,22,Aaron Rodgers,QB,PIT,CIN,13.33,0.763,13.544,23.728,0.916,0.0
52,15,Drake London,WR,ATL,GB,13.285,3.257,12.039,24.713,0.955,0.0
53,15,D'Andre Swift,RB,CHI,PHI,13.07,3.804,11.929,23.365,0.97,0.0
54,16,George Pickens,WR,DAL,BAL,13.069,2.722,12.16,24.605,0.963,0.0
55,17,Garrett Wilson,WR,NYJ,DET,13.038,1.811,12.005,24.908,0.934,0.0
56,18,Michael Wilson,WR,ARI,SF,12.909,3.052,12.055,24.478,0.96,0.0
57,16,Jeremiyah Love,RB,ARI,SF,12.852,3.958,11.522,23.577,0.962,0.0
58,17,Kyren Williams,RB,LA,DEN,12.822,2.823,11.737,23.809,0.939,0.0
59,23,Jayden Daniels,QB,WAS,SEA,12.763,0.0,13.495,24.329,0.845,0.0
60,19,Tee Higgins,WR,CIN,PIT,12.726,2.72,11.777,24.104,0.971,0.0
61,24,Kirk Cousins,QB,LV,NO,12.63,1.759,12.582,22.37,0.943,0.0
62,20,Zay Flowers,WR,BAL,DAL,12.549,0.0,11.706,24.508,0.865,0.0
63,18,Chuba Hubbard,RB,CAR,CLE,12.41,3.405,11.444,22.73,0.961,0.0
64,2,Travis Kelce,TE,KC,MIA,12.397,3.344,11.639,23.111,0.983,0.0
65,19,Jaylen Warren,RB,PIT,CIN,12.205,3.008,10.886,22.679,0.958,0.0
66,25,Jacoby Brissett,QB,ARI,SF,12.188,0.0,12.399,22.557,0.898,0.0
67,21,Jaylen Waddle,WR,DEN,LA,12.093,2.493,11.267,22.444,0.964,0.0
68,22,Emeka Egbuka,WR,TB,MIN,12.031,2.613,11.067,23.153,0.963,0.0
69,26,Jordan Love,QB,GB,ATL,11.914,0.0,12.14,23.673,0.809,0.0
70,20,Aaron Jones,RB,MIN,TB,11.737,2.757,10.453,22.546,0.963,0.0
71,23,DK Metcalf,WR,PIT,CIN,11.624,2.533,10.311,22.473,0.945,0.0
72,21,Quinshon Judkins,RB,CLE,CAR,11.613,0.485,10.303,23.412,0.923,0.0
73,22,Travis Etienne,RB,NO,LV,11.532,1.681,10.46,22.018,0.935,0.0
74,24,Deebo Samuel Sr.,WR,SF,ARI,11.514,2.356,10.351,22.027,0.962,0.0
75,27,Jaxson Dart,QB,NYG,TEN,11.49,0.0,11.719,23.452,0.736,0.0
76,28,Daniel Jones,QB,IND,HOU,11.463,0.0,11.473,21.645,0.873,0.0
77,25,Jameson Williams,WR,DET,NYJ,11.321,1.572,10.296,21.876,0.941,0.0
78,29,Malik Willis,QB,MIA,KC,11.286,0.0,11.79,22.828,0.787,0.0
79,26,Ladd McConkey,WR,LAC,BUF,11.236,0.0,10.499,22.188,0.899,0.0
80,23,David Montgomery,RB,HOU,IND,11.185,1.818,10.076,21.642,0.945,0.0
81,27,Jalen Coker,WR,CAR,CLE,11.182,1.418,10.376,21.988,0.935,0.0
82,28,Mike Evans,WR,SF,ARI,11.139,1.471,9.954,21.837,0.944,0.0
83,29,Brian Thomas Jr.,WR,JAX,NE,11.1,1.942,10.199,21.653,0.962,0.0
84,30,Terry McLaurin,WR,WAS,SEA,11.076,1.632,10.002,22.065,0.96,0.0
85,31,Malik Nabers,WR,NYG,TEN,10.88,0.0,9.723,22.944,0.849,0.0
86,24,Cam Skattebo,RB,NYG,TEN,10.816,0.0,9.89,21.827,0.867,0.0
87,25,Bhayshul Tuten,RB,JAX,NE,10.621,1.677,9.507,20.614,0.94,0.0
88,3,Mark Andrews,TE,BAL,DAL,10.601,2.497,9.976,19.998,0.962,0.0
89,4,Tyler Warren,TE,IND,HOU,10.593,1.406,9.937,21.247,0.97,0.0
90,32,Xavier Worthy,WR,KC,MIA,10.51,1.111,9.367,20.841,0.949,0.0
91,26,Tony Pollard,RB,TEN,NYG,10.49,2.221,9.276,20.84,0.955,0.0
92,33,DJ Moore,WR,BUF,LAC,10.447,0.0,9.272,21.58,0.914,0.0
93,34,Quentin Johnston,WR,LAC,BUF,10.429,1.834,9.392,20.781,0.952,0.0
94,35,Stefon Diggs,WR,WAS,SEA,10.399,1.928,9.21,19.933,0.964,0.0
95,27,TreVeyon Henderson,RB,NE,JAX,10.374,0.707,9.24,21.27,0.922,0.0
96,36,Chris Godwin Jr.,WR,TB,MIN,10.323,1.501,9.135,20.588,0.944,0.0
97,37,KC Concepcion,WR,CLE,CAR,10.283,1.901,9.019,19.994,0.964,0.0
98,38,Khalil Shakir,WR,BUF,LAC,10.199,0.631,9.161,20.814,0.939,0.0
99,39,Carnell Tate,WR,TEN,NYG,10.182,1.827,9.0,19.658,0.963,0.0
100,40,Josh Downs,WR,IND,HOU,10.144,1.785,9.089,19.406,0.959,0.0
101,41,Tre Tucker,WR,LV,NO,10.136,1.707,8.878,20.094,0.954,0.0
102,5,Dalton Schultz,TE,HOU,IND,10.128,2.185,9.409,18.665,0.972,0.0
103,42,Luther Burden III,WR,CHI,PHI,10.054,0.957,8.616,20.634,0.944,0.0
104,6,Dalton Kincaid,TE,BUF,LAC,10.013,2.399,9.158,18.735,0.967,0.0
105,7,Sam LaPorta,TE,DET,NYJ,9.999,2.002,9.476,18.236,0.933,0.0
106,43,Matthew Golden,WR,GB,ATL,9.982,1.483,8.842,20.063,0.96,0.0
107,8,Harold Fannin Jr.,TE,CLE,CAR,9.922,1.106,9.18,19.657,0.932,0.0
108,28,Jadarian Price,RB,SEA,WAS,9.875,1.361,8.063,20.53,0.938,0.0
109,9,George Kittle,TE,SF,ARI,9.74,2.015,9.03,18.425,0.942,0.0
110,44,Courtland Sutton,WR,DEN,LA,9.728,1.169,8.408,19.515,0.942,0.0
111,45,Caleb Douglas,WR,MIA,KC,9.612,0.426,8.218,20.08,0.933,0.0
112,46,Nico Collins,WR,HOU,IND,9.59,0.0,8.949,21.27,0.776,0.0
113,47,Malik Washington,WR,MIA,KC,9.565,0.72,8.163,20.081,0.945,0.0
114,48,Jordan Addison,WR,MIN,TB,9.553,0.793,8.259,19.088,0.956,0.0
115,29,Rhamondre Stevenson,RB,NE,JAX,9.537,0.0,8.434,19.855,0.885,0.0
116,49,Devaughn Vele,WR,NO,LV,9.359,0.0,8.131,19.692,0.882,0.0
117,50,Rashod Bateman,WR,BAL,DAL,9.268,0.57,7.996,19.536,0.947,0.0
118,30,Woody Marks,RB,HOU,IND,9.22,0.6,7.591,19.898,0.937,0.0
119,10,Colston Loveland,TE,CHI,PHI,9.111,0.063,8.521,18.036,0.922,0.0
120,31,Saquon Barkley,RB,PHI,CHI,9.067,0.0,8.102,18.977,0.869,0.0
121,11,Isaiah Likely,TE,NYG,TEN,9.029,0.876,8.39,17.483,0.951,0.0
122,51,Adonai Mitchell,WR,NYJ,DET,9.004,1.566,7.663,18.755,0.966,0.0
123,32,Blake Corum,RB,LA,DEN,8.7,0.393,7.023,18.838,0.956,0.0
124,52,Alec Pierce,WR,IND,HOU,8.595,0.247,7.196,18.196,0.908,0.0
125,33,Kyle Monangai,RB,CHI,PHI,8.522,0.0,6.916,18.699,0.916,0.0
126,53,Rome Odunze,WR,CHI,PHI,8.457,0.0,7.283,18.208,0.886,0.0
127,54,Jakobi Meyers,WR,JAX,NE,8.396,0.0,6.986,17.975,0.912,0.0
128,55,Keenan Allen,WR,IND,HOU,8.216,0.509,6.75,17.594,0.95,0.0
129,56,Wan'Dale Robinson,WR,TEN,NYG,8.151,0.0,7.086,17.831,0.87,0.0
130,57,Romeo Doubs,WR,NE,JAX,8.034,0.0,6.787,17.681,0.906,0.0
131,12,Tucker Kraft,TE,GB,ATL,7.983,0.0,7.137,16.571,0.865,0.0
132,58,Jerry Jeudy,WR,CLE,CAR,7.76,0.0,6.406,17.243,0.92,0.0
133,30,Carson Wentz,QB,MIN,TB,7.741,0.0,6.229,18.42,0.848,0.0
134,13,Pat Freiermuth,TE,PIT,CIN,7.657,0.981,6.661,15.223,0.958,0.0
135,34,Tyjae Spears,RB,TEN,NYG,7.642,0.833,6.145,16.653,0.921,0.0
136,14,Hunter Henry,TE,NE,JAX,7.621,0.589,6.512,16.2,0.966,0.0
137,59,Xavier Hutchinson,WR,HOU,IND,7.474,0.677,5.729,16.264,0.955,0.0
138,31,Drew Lock,QB,SEA,WAS,7.471,0.0,5.69,18.402,0.81,0.0
139,15,Cade Otton,TE,TB,MIN,7.443,0.692,6.407,15.481,0.949,0.0
140,35,Rachaad White,RB,WAS,SEA,7.371,1.03,6.235,15.054,0.954,0.0
141,16,Brenton Strange,TE,JAX,NE,7.23,0.144,5.815,15.343,0.923,0.0
142,60,Malachi Fields,WR,NYG,TEN,7.187,0.223,5.747,15.912,0.945,0.0
